"species","latitude","longitude","date_obs","source"
"Impatiens glandulifera",47.30045,7.98907,2025-04-25,"gbif"
"Impatiens glandulifera",47.29225,7.96253,2025-04-25,"gbif"
"Impatiens glandulifera",47.43936,9.15644,2025-04-23,"gbif"
"Impatiens glandulifera",47.42625,9.18317,2025-04-23,"gbif"
"Impatiens glandulifera",47.42791,9.18102,2025-04-23,"gbif"
"Impatiens glandulifera",47.43826,9.15384,2025-04-23,"gbif"
"Impatiens glandulifera",47.42755,9.18275,2025-04-23,"gbif"
"Impatiens glandulifera",47.43215,9.16634,2025-04-23,"gbif"
"Impatiens glandulifera",47.43772,9.15803,2025-04-23,"gbif"
"Impatiens glandulifera",47.42914,9.17854,2025-04-23,"gbif"
"Impatiens glandulifera",47.4363,9.16154,2025-04-23,"gbif"
"Impatiens glandulifera",47.29233,7.99392,2025-04-25,"gbif"
"Impatiens glandulifera",47.42817,9.18166,2025-04-23,"gbif"
"Impatiens glandulifera",47.51933,8.15428,2025-04-24,"gbif"
"Impatiens glandulifera",47.43805,9.15932,2025-04-23,"gbif"
"Impatiens glandulifera",47.42689,9.18184,2025-04-23,"gbif"
"Impatiens glandulifera",47.43443,9.16669,2025-04-23,"gbif"
"Impatiens glandulifera",47.27775,7.98647,2025-04-25,"gbif"
"Impatiens glandulifera",47.42688,9.1823,2025-04-23,"gbif"
"Impatiens glandulifera",47.43934,9.15672,2025-04-23,"gbif"
"Impatiens glandulifera",47.29295,7.96057,2025-04-25,"gbif"
"Impatiens glandulifera",47.43835,9.15483,2025-04-23,"gbif"
"Impatiens glandulifera",47.43433,9.16401,2025-04-23,"gbif"
"Impatiens glandulifera",47.428,9.18187,2025-04-23,"gbif"
"Impatiens glandulifera",47.29159,7.99487,2025-04-25,"gbif"
"Impatiens glandulifera",47.29273,7.99264,2025-04-25,"gbif"
"Impatiens glandulifera",47.42947,9.17804,2025-04-23,"gbif"
"Impatiens glandulifera",47.43764,9.15809,2025-04-23,"gbif"
"Impatiens glandulifera",47.43321,9.16675,2025-04-23,"gbif"
"Impatiens glandulifera",47.43194,9.16669,2025-04-23,"gbif"
"Impatiens glandulifera",47.43591,9.16065,2025-04-23,"gbif"
"Impatiens glandulifera",47.42902,9.17908,2025-04-23,"gbif"
"Impatiens glandulifera",47.4353,9.16168,2025-04-23,"gbif"
"Impatiens glandulifera",47.2861,7.96777,2025-04-25,"gbif"
"Impatiens glandulifera",47.28603,7.96872,2025-04-25,"gbif"
"Impatiens glandulifera",47.27128,7.97614,2025-04-28,"gbif"
"Impatiens glandulifera",47.29151,7.96149,2025-04-25,"gbif"
"Impatiens glandulifera",47.27174,7.97469,2025-04-28,"gbif"
"Impatiens glandulifera",47.29188,7.96163,2025-04-25,"gbif"
"Impatiens glandulifera",47.2741,7.97452,2025-04-28,"gbif"
"Impatiens glandulifera",47.2724,7.97537,2025-04-28,"gbif"
"Impatiens glandulifera",47.43812,9.15408,2025-04-23,"gbif"
"Impatiens glandulifera",47.43614,9.16269,2025-04-23,"gbif"
"Impatiens glandulifera",47.46896,9.16578,2025-04-23,"gbif"
"Impatiens glandulifera",47.43182,9.16715,2025-04-23,"gbif"
"Impatiens glandulifera",47.43604,9.162,2025-04-23,"gbif"
"Impatiens glandulifera",47.4319,9.17602,2025-04-23,"gbif"
"Impatiens glandulifera",47.29196,7.99124,2025-04-25,"gbif"
"Impatiens glandulifera",47.26522,7.92847,2025-04-25,"gbif"
